Country,Continent,Average
Australia,Asia/Oceania,10.2
Austria,Europe,12.3
Belgium,Europe,10.7
Canada,America,7.9
Czech Republic,Europe,11.8
Denmark,Europe,11.5
Finland,Europe,9.3
France,Europe,13.1
Germany,Europe,12.1
Greece,Europe,8.9
Hungary,Europe,12.1
Iceland,Europe,6.6
Ireland,Europe,12.6
Italy,Europe,8.1
Japan,Asia/Oceania,8.0
Korea,Asia/Oceania,9.0
Luxembourg,Europe,12.5
Mexico,America,4.6
Netherlands,Europe,9.5
New Zealand,Asia/Oceania,9.1
Norway,Europe,6.0
Poland,Europe,9.4
Portugal,Europe,12.3
Slovak Republic,Europe,10.4
Spain,Europe,10.6
Sweden,Europe,6.8
Switzerland,Europe,10.5
Turkey,Europe,1.5
United Kingdom,Europe,10.4
United States,America,8.5
Brazil,America,6.9
Chile,America,7.1
China (People's Republic of),Asia/Oceania,4.5
Estonia,Europe,11.1
India,Asia/Oceania,2.0
Indonesia,Asia/Oceania,0.1
Israel,Asia/Oceania,2.4
Russia,Europe,16.0
Slovenia,Europe,11.1
South Africa,Africa,8.2
Colombia,America,4.8
Costa Rica,America,4.3
Latvia,Europe,9.4
Lithuania,Europe,11.7
