Country,Continent,Average
Australia,Asia/Oceania,10.2
Austria,Europe,12.6
Belgium,Europe,10.9
Canada,America,7.9
Czech Republic,Europe,11.7
Denmark,Europe,11.5
Finland,Europe,9.2
France,Europe,13.6
Germany,Europe,12.5
Greece,Europe,9.2
Hungary,Europe,12.3
Iceland,Europe,6.2
Ireland,Europe,12.3
Italy,Europe,8.6
Japan,Asia/Oceania,8.2
Korea,Asia/Oceania,9.0
Luxembourg,Europe,12.9
Mexico,America,4.7
Netherlands,Europe,9.6
New Zealand,Asia/Oceania,9.2
Norway,Europe,5.8
Poland,Europe,9.2
Portugal,Europe,12.6
Slovak Republic,Europe,10.8
Spain,Europe,10.9
Sweden,Europe,6.6
Switzerland,Europe,10.9
Turkey,Europe,1.5
United Kingdom,Europe,10.2
United States,America,8.5
Brazil,America,6.5
Chile,America,7.3
China (People's Republic of),Asia/Oceania,4.4
Estonia,Europe,10.5
India,Asia/Oceania,2.0
Indonesia,Asia/Oceania,0.1
Israel,Asia/Oceania,2.3
Russia,Europe,16.8
Slovenia,Europe,11.7
South Africa,Africa,8.4
Colombia,America,5.2
Costa Rica,America,4.7
Latvia,Europe,9.1
Lithuania,Europe,10.3
