Country,Continent,Average
Austria,Europe,12.6
Belgium,Europe,10.9
Czech Republic,Europe,11.7
Denmark,Europe,11.5
Finland,Europe,9.2
France,Europe,13.6
Germany,Europe,12.5
Greece,Europe,9.2
Hungary,Europe,12.3
Iceland,Europe,6.2
Ireland,Europe,12.3
Italy,Europe,8.6
Luxembourg,Europe,12.9
Netherlands,Europe,9.6
Norway,Europe,5.8
Poland,Europe,9.2
Portugal,Europe,12.6
Slovak Republic,Europe,10.8
Spain,Europe,10.9
Sweden,Europe,6.6
Switzerland,Europe,10.9
Turkey,Europe,1.5
United Kingdom,Europe,10.2
Estonia,Europe,10.5
Russia,Europe,16.8
Slovenia,Europe,11.7
Latvia,Europe,9.1
Lithuania,Europe,10.3
