Country,Continent,Average
Austria,Europe,12.3
Belgium,Europe,10.7
Czech Republic,Europe,11.8
Denmark,Europe,11.5
Finland,Europe,9.3
France,Europe,13.1
Germany,Europe,12.1
Greece,Europe,8.9
Hungary,Europe,12.1
Iceland,Europe,6.6
Ireland,Europe,12.6
Italy,Europe,8.1
Luxembourg,Europe,12.5
Netherlands,Europe,9.5
Norway,Europe,6.0
Poland,Europe,9.4
Portugal,Europe,12.3
Slovak Republic,Europe,10.4
Spain,Europe,10.6
Sweden,Europe,6.8
Switzerland,Europe,10.5
Turkey,Europe,1.5
United Kingdom,Europe,10.4
Estonia,Europe,11.1
Russia,Europe,16.0
Slovenia,Europe,11.1
Latvia,Europe,9.4
Lithuania,Europe,11.7
