VAR,Variable,UNIT,Measure,COU,Country,YEA,Year,Value,Flag Codes,Flags,Continent
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1960,1960,9.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1961,1961,9.4,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1962,1962,9.5,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1963,1963,9.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1964,1964,10.1,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1965,1965,10,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1966,1966,10.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1967,1967,10.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1968,1968,11.1,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1969,1969,11.6,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1970,1970,11.6,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1971,1971,11.6,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1972,1972,12.2,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1973,1973,12.9,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1974,1974,13.1,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1975,1975,12.9,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1976,1976,13.1,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1977,1977,13,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1978,1978,12.7,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1979,1979,12.7,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1980,1980,12.7,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1981,1981,12.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1982,1982,12.4,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1983,1983,12.2,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1984,1984,11.7,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1985,1985,11.8,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1986,1986,11.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1987,1987,11.4,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1988,1988,11.3,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1989,1989,11,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1990,1990,10.6,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1991,1991,10.1,,,Asia/Oceania
ACOLALCT,Alcohol consumption,LIPPERNB,Litres per capita (15+),AUS,Australia,1992,1992,9.9,,,Asia/Oceania
